head	relation	tail	time
Thailand	Express intent to cooperate	Malaysia	2007-02-09
Thailand	Express intent to cooperate	Malaysia	2014-12-01
Thailand	Express intent to cooperate	China	2007-05-30
Thailand	Express intent to cooperate	Cambodia	2008-02-15
Thailand	Express intent to cooperate	Agence France-Presse	2005-09-04
Thailand	Express intent to cooperate	Malaysia	2008-04-25
Thailand	Express intent to cooperate	Cambodia	2009-04-05
Thailand	Express intent to cooperate	Cambodia	2009-06-12
Thailand	Express intent to cooperate	Japan	2005-06-30
Thailand	Express intent to cooperate	Police (Malaysia)	2012-02-29
Thailand	Express intent to cooperate	Cambodia	2012-07-02
Thailand	Express intent to cooperate	Citizen (Thailand)	2006-04-28
Thailand	Express intent to cooperate	China	2015-10-09
Thailand	Express intent to cooperate	Cambodia	2011-09-19
Thailand	Express intent to cooperate	Cambodia	2015-12-18
Thailand	Express intent to cooperate	Japan	2009-07-27
Thailand	Express intent to cooperate	Cambodia	2009-03-03
Thailand	Express intent to cooperate	Military (Cambodia)	2011-02-08
Thailand	Express intent to cooperate	Malaysia	2014-09-12
Thailand	Express intent to cooperate	Vietnam	2013-06-26
Thailand	Express intent to cooperate	Citizen (Thailand)	2013-05-24
Thailand	Express intent to cooperate	Cambodia	2011-02-11
Thailand	Express intent to cooperate	Laos	2007-03-12
Thailand	Express intent to cooperate	Japan	2005-08-03
Thailand	Express intent to cooperate	Japan	2008-08-22
Thailand	Express intent to cooperate	Laos	2007-10-16
Thailand	Express intent to cooperate	Cambodia	2009-01-27
Thailand	Express intent to cooperate	Cambodia	2009-11-16
Thailand	Express intent to cooperate	China	2015-07-24
Thailand	Express intent to cooperate	Laos	2014-11-27
Thailand	Express intent to cooperate	Malaysia	2015-05-21
Thailand	Express intent to cooperate	China	2006-11-19
Thailand	Express intent to cooperate	Vietnam	2014-11-15
Thailand	Express intent to cooperate	Laos	2011-04-21
Thailand	Express intent to cooperate	Laos	2006-02-01
Thailand	Express intent to cooperate	Cambodia	2008-07-19
Thailand	Express intent to cooperate	Laos	2007-07-30
Thailand	Express intent to cooperate	Malaysia	2005-09-13
Thailand	Express intent to cooperate	China	2015-04-25
Thailand	Express intent to cooperate	Cambodia	2014-06-17
Thailand	Express intent to cooperate	Vietnam	2014-06-27
Citizen (Venezuela)	Reject	Ministry (Venezuela)	2013-03-12
Citizen (Venezuela)	Reject	Barack Obama	2015-03-25
Citizen (Thailand)	Demand	Abhisit Vejjajiva	2009-07-09
Citizen (Thailand)	Demand	Thailand	2009-09-11
Citizen (Thailand)	Demand	Barisan Revolusi Nasional	2014-08-30
Citizen (Thailand)	Demand	Member of Parliament (Thailand)	2012-04-20
Citizen (Thailand)	Demand	Abhisit Vejjajiva	2010-04-12
Citizen (Thailand)	Demand	Thailand	2007-08-09
Citizen (Thailand)	Demand	Naval (Thailand)	2015-04-15
Citizen (Thailand)	Demand	Media (Thailand)	2008-08-04
Citizen (Thailand)	Demand	Thailand	2005-12-13
Citizen (Thailand)	Demand	Abhisit Vejjajiva	2010-03-30
Citizen (Thailand)	Demand	Thailand	2006-05-25
Citizen (Thailand)	Demand	Thailand	2009-04-20
Angola	Express intent to meet or negotiate	Media (Argentina)	2011-08-04
Angola	Express intent to meet or negotiate	Portugal	2006-09-30
Angola	Express intent to meet or negotiate	South Africa	2007-09-10
Angola	Express intent to meet or negotiate	Malawi	2006-11-16
Angola	Express intent to meet or negotiate	Indigenous People (Portugal)	2005-11-21
Angola	Express intent to meet or negotiate	South Korea	2010-07-20
Angola	Express intent to meet or negotiate	Burundi	2015-12-04
Dmitry Anatolyevich Medvedev	Engage in negotiation	Angela Merkel	2009-08-13
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2009-07-03
Dmitry Anatolyevich Medvedev	Engage in negotiation	Frank Bainimarama	2013-06-28
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2011-05-31
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2010-06-25
Dmitry Anatolyevich Medvedev	Engage in negotiation	Viktor Basargin	2010-09-04
Dmitry Anatolyevich Medvedev	Engage in negotiation	Angela Merkel	2008-08-15
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2009-07-08
Dmitry Anatolyevich Medvedev	Engage in negotiation	Valery Dmitrievich Zorkin	2009-02-16
Dmitry Anatolyevich Medvedev	Engage in negotiation	Umaru Musa Yar'Adua	2009-06-24
Dmitry Anatolyevich Medvedev	Engage in negotiation	Raúl Castro	2009-01-30
Dmitry Anatolyevich Medvedev	Engage in negotiation	Mahmoud Abbas	2012-01-21
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2009-04-03
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2009-12-12
Dmitry Anatolyevich Medvedev	Engage in negotiation	Barack Obama	2009-04-01
Dmitry Anatolyevich Medvedev	Engage in negotiation	Head of Government (Greece)	2015-04-10
Dmitry Anatolyevich Medvedev	Engage in negotiation	Abdullah Gül	2010-05-12
Sudan People's Liberation Army	Use conventional military force	Bishop (Sudan)	2008-01-12
Sudan People's Liberation Army	Use conventional military force	Citizen (Sudan)	2011-06-14
Sudan People's Liberation Army	Use conventional military force	South Sudan	2009-06-14
Sudan People's Liberation Army	Use conventional military force	Armed Rebel (Lord's Resistance Army)	2008-03-14
Sudan People's Liberation Army	Use conventional military force	Sudan	2012-11-15
Xi Jinping	Engage in symbolic act	Head of Government (Pakistan)	2014-09-13
Xi Jinping	Engage in symbolic act	Scientist (China)	2011-01-26
Naval (Sri Lanka)	Use conventional military force	Fishermen (India)	2013-06-01
Naval (Sri Lanka)	Use conventional military force	Fishermen (India)	2011-09-08
Naval (Sri Lanka)	Use conventional military force	Insurgent (Sri Lanka)	2005-12-23
Naval (Sri Lanka)	Use conventional military force	Fishermen (India)	2013-06-17
Naval (Sri Lanka)	Use conventional military force	Fishermen (Sri Lanka)	2006-06-20
Naval (Sri Lanka)	Use conventional military force	Fishermen (India)	2011-11-17
Bhutan	Consult	Maldives	2005-10-19
Bhutan	Consult	Maldives	2010-04-27
Bhutan	Consult	Maldives	2008-07-31
Police (Egypt)	Arrest, detain, or charge with legal action	Cairo University	2015-12-17
Police (Egypt)	Arrest, detain, or charge with legal action	People Associated with the Opposition (Muslim Brotherhood)	2008-08-02
Police (Egypt)	Arrest, detain, or charge with legal action	Scholar (South Africa)	2015-04-27
Police (Egypt)	Arrest, detain, or charge with legal action	Hisham Qandil	2013-12-24
Military Personnel (Taiwan)	Make statement	Military (Taiwan)	2006-12-04
National Front Malaysia	Make statement	Malaysia	2009-01-08
Iran	Host a visit	Gholamali Haddad Adel	2005-10-03
Iran	Host a visit	Iraq	2009-03-01
Iran	Host a visit	Javier Solana	2006-06-15
Iran	Host a visit	Angel Luis D'Elia	2010-03-12
Iran	Host a visit	Gazprom Neft	2008-06-21
Iran	Host a visit	Mehdi Karrubi	2010-06-13
Iran	Host a visit	Javier Solana	2008-07-07
Iran	Host a visit	Shivshankar Menon	2007-12-14
Iran	Host a visit	Iraq	2015-08-17
Iran	Host a visit	Mahmoud Ahmadinejad	2010-11-23
Iran	Host a visit	Rafael Correa	2008-10-12
Iran	Host a visit	Mahmoud Ahmadinejad	2008-11-23
Iran	Host a visit	Rafiq Hariri	2010-11-27
Iran	Host a visit	National Assembly of Pakistan	2010-02-04
Iran	Host a visit	Refugee (Afghanistan)	2009-06-17
Iran	Host a visit	Member of Legislative (Govt) (Syria)	2010-01-06
Iran	Host a visit	Nuri al-Maliki	2014-05-09
Iran	Host a visit	Abdoulaye Wade	2009-11-21
Iran	Host a visit	Mahmoud Ahmadinejad	2013-01-31
Iran	Host a visit	Tourist (Austria)	2014-10-08
Iran	Host a visit	Iraq	2010-02-06
Iran	Host a visit	Head of Government (Brazil)	2010-04-15
Iran	Host a visit	Nuri al-Maliki	2006-09-23
Iran	Host a visit	South Africa	2013-12-02
Iran	Host a visit	Pervez Musharraf	2007-07-07
Iran	Host a visit	Mahmoud Ahmadinejad	2012-07-17
Iran	Host a visit	Foreign Affairs (France)	2013-05-28
Iran	Host a visit	Mahmoud Ahmadinejad	2006-02-27
Iran	Host a visit	Mahmoud Ahmadinejad	2011-09-26
Iran	Host a visit	Iraq	2008-05-06
Iran	Host a visit	Haider Al-Abadi	2014-10-20
Iran	Host a visit	Valentin Sobolev	2008-04-28
Iran	Host a visit	Head of Government (Egypt)	2012-09-03
Iran	Host a visit	Dmitry Olegovich Rogozin	2015-11-17
Iran	Host a visit	Pervez Musharraf	2006-04-19
Iran	Host a visit	Valentin Sobolev	2008-05-12
Iran	Host a visit	Sergey Vladilenovich Kiriyenko	2006-12-12
Iran	Host a visit	Massoud Barzani	2011-11-01
Iran	Host a visit	Santos Edelmar Lopez	2014-05-01
Iran	Host a visit	Ministry (Oman)	2009-04-13
Iran	Host a visit	Staffan de Mistura	2015-07-23
Iran	Host a visit	United Arab Emirates	2014-06-05
Iran	Host a visit	Foreign Affairs (France)	2015-07-29
Iran	Host a visit	Muhammad Salem al-Ghabban	2015-01-18
Iran	Host a visit	Head of Government (Pakistan)	2007-02-06
Iran	Host a visit	Mehmet Simsek	2008-11-26
Iran	Host a visit	Media Personnel (China)	2008-05-07
Iran	Host a visit	Foreign Affairs (India)	2008-11-11
Iran	Host a visit	China	2005-12-16
Iran	Host a visit	Mahmoud Ahmadinejad	2012-04-12
Iran	Host a visit	Mohammed Qasim Fahim	2010-12-28
Iran	Host a visit	Head of Government (Turkmenistan)	2013-08-05
Iran	Host a visit	Foreign Affairs (Syria)	2014-12-07
Iran	Host a visit	Hannes Swoboda	2013-10-21
Iran	Host a visit	Abu Bakr Abdullah al-Qirbi	2007-03-11
Iran	Host a visit	France	2006-11-10
Iran	Host a visit	Mahmoud Ahmadinejad	2007-08-16
Iran	Host a visit	Rafael Correa	2009-01-13
Iran	Host a visit	Head of Government (Turkmenistan)	2007-06-26
Iran	Host a visit	Nonaligned Movement	2012-08-14
Iran	Host a visit	Transport (China)	2012-04-06
Iran	Host a visit	Iraq	2011-07-10
Iran	Host a visit	Rehman Malik	2009-03-01
Iran	Host a visit	Head of Government (Brazil)	2010-05-15
Iran	Host a visit	Mohamed Ould Abdel Aziz	2010-01-27
Iran	Host a visit	Nuri al-Maliki	2013-12-09
Iran	Host a visit	Mohammad Reza Naqdi	2014-11-24
Iran	Host a visit	Mahmoud Ahmadinejad	2013-01-09
Iran	Host a visit	Rafael Correa	2008-12-06
Iran	Host a visit	Mahmoud Ahmadinejad	2007-09-15
Iran	Host a visit	China	2013-12-02
Iran	Host a visit	Mahmoud Ahmadinejad	2011-09-11
Iran	Host a visit	Simon Gass	2014-05-01
Iran	Host a visit	Foreign Affairs (Italy)	2013-12-24
Iran	Host a visit	Agence France-Presse	2013-06-14
Iran	Host a visit	China	2010-09-21
Iran	Host a visit	Haider Al-Abadi	2014-09-25
Iran	Host a visit	Nonaligned Movement	2012-07-15
Iran	Host a visit	UN Security Council	2008-05-08
Iran	Host a visit	Heinz Fischer	2015-09-07
Iran	Host a visit	Nonaligned Movement	2012-06-30
Iran	Host a visit	Foreign Affairs (Venezuela)	2009-11-17
Iran	Host a visit	National Security Advisor (Iraq)	2009-01-27
Iran	Host a visit	National Security Advisor (Saudi Arabia)	2007-01-24
Iran	Host a visit	Mahmoud Ahmadinejad	2006-12-15
Iran	Host a visit	Javier Solana	2008-06-15
Iran	Host a visit	Inter-Services Intelligence	2011-05-18
Iran	Host a visit	Jack Lang	2006-09-05
Iran	Host a visit	Energy Department/Ministry (Russia)	2015-10-16
Iran	Host a visit	Nuri al-Maliki	2008-05-01
Iran	Host a visit	Iraq	2005-12-01
Iran	Host a visit	Yemen	2015-03-03
Iran	Host a visit	Rafael Correa	2008-12-13
Iran	Host a visit	Nuri al-Maliki	2009-05-21
Iran	Host a visit	Japan	2007-10-16
Iran	Host a visit	France	2014-02-02
Iran	Host a visit	Julie Bishop	2015-04-22
Iran	Host a visit	Japan	2008-12-10
Iran	Host a visit	Ahmad Mohamed Ibrahim	2013-05-05
Iran	Host a visit	Envoy (Oman)	2013-08-25
Iran	Host a visit	Iraq	2007-07-08
Iran	Host a visit	Catherine Ashton	2014-04-08
Iran	Host a visit	Iraq	2014-12-09
Iran	Host a visit	Refugee (Afghanistan)	2010-10-24
Iran	Host a visit	Activist (United States)	2008-11-25
Iran	Host a visit	Mahmoud Ahmadinejad	2005-07-03
Iran	Host a visit	Foreign Affairs (Venezuela)	2015-04-20
Iran	Host a visit	Refugee (Afghanistan)	2014-07-28
Iran	Host a visit	Iraq	2008-06-10
Iran	Host a visit	Economic Cooperation Organization	2009-03-04
Iran	Host a visit	Barack Obama	2013-03-21
Iran	Host a visit	Ahmed Abdallah Sambi	2008-06-16
Iran	Host a visit	France	2015-08-18
Iran	Host a visit	Mahmoud Ahmadinejad	2006-01-05
Iran	Host a visit	Javier Solana	2006-01-27
Iran	Host a visit	Rehman Malik	2009-05-24
Iran	Host a visit	Nuri al-Maliki	2010-10-18
Iran	Host a visit	Mahmoud Ahmadinejad	2009-04-08
Iran	Host a visit	Head of Government (Turkmenistan)	2007-10-16
Iran	Host a visit	Sheikh Hamad bin Khalifa al-Thani	2011-08-26
Iran	Host a visit	Haider Al-Abadi	2014-10-25
Iran	Host a visit	Morteza Sarmadi	2015-04-08
Iran	Host a visit	Doctors Without Borders	2015-06-29
Iran	Host a visit	Abdullah Gül	2009-03-17
Iran	Host a visit	Gurbanguly Berdymukhammedov	2009-02-28
Iran	Host a visit	Javier Solana	2006-07-04
Iran	Host a visit	Foreign Affairs (Belgium)	2015-11-10
Iran	Host a visit	Muhammad Naji al-Otari	2007-03-11
Iran	Host a visit	Mahmoud Ahmadinejad	2006-06-07
Iran	Host a visit	Nonaligned Movement	2012-07-31
Iran	Host a visit	African Union	2009-02-02
Iran	Host a visit	Mahmoud Ahmadinejad	2009-02-18
Iran	Host a visit	Isaias Afewerki	2008-05-20
Iran	Host a visit	UN Security Council	2011-08-16
Iran	Host a visit	Sergey Kuzhugetovich Shoygu	2015-01-22
Iran	Host a visit	Nguyen Xuan Phuc	2014-10-18
Iran	Host a visit	Evo Morales	2008-09-05
Iran	Host a visit	Member of Legislative (Govt) (Lebanon)	2013-11-26
Iran	Host a visit	Nuri al-Maliki	2013-12-04
Iran	Host a visit	Mahmoud Ahmadinejad	2008-02-02
Iran	Host a visit	Iraq	2007-08-05
Iran	Host a visit	Gurbanguly Berdymukhammedov	2007-06-15
Iran	Host a visit	Iraq	2011-09-05
Iran	Host a visit	Eshaq Jahangiri	2015-10-15
Iran	Host a visit	Adil Abdul-Mahdi	2009-03-02
Iran	Host a visit	Foreign Affairs (Uruguay)	2011-04-09
Iran	Host a visit	Viktor Orban	2015-11-29
Iran	Host a visit	Refugee (Afghanistan)	2009-04-24
Iran	Host a visit	Kazakhstan	2015-08-23
Iran	Host a visit	Ombudsman (Kyrgyzstan)	2011-08-09
Iran	Host a visit	Qatar	2014-02-25
Iran	Host a visit	China	2015-02-18
Iran	Host a visit	Mahmoud Ahmadinejad	2013-07-21
Iran	Host a visit	Radoslaw Sikorski	2014-01-28
Iran	Host a visit	Special Rapporteurs of the United Nations	2005-02-06
Iran	Host a visit	Mahmoud Ahmadinejad	2009-05-20
Iran	Host a visit	Refugee (Afghanistan)	2014-07-22
Iran	Host a visit	Nonaligned Movement	2012-09-03
Iran	Host a visit	Nuri al-Maliki	2008-12-29
Iran	Host a visit	Murli Deora	2008-01-18
Iran	Host a visit	Nonaligned Movement	2012-09-18
Iran	Host a visit	Mahmoud Ahmadinejad	2009-11-23
Iran	Host a visit	Abdullah Gül	2011-02-21
Iran	Host a visit	Mahmoud Ahmadinejad	2012-06-11
Iran	Host a visit	Mahmoud Ahmadinejad	2008-08-24
Iran	Host a visit	Nonaligned Movement	2012-09-12
Iran	Host a visit	Military Personnel (Azerbaijan)	2013-08-20
Iran	Host a visit	Citizen (Saudi Arabia)	2015-06-17
Iran	Host a visit	Energy Department/Ministry (Russia)	2013-12-16
Iran	Host a visit	Jack Straw	2006-04-13
Iran	Host a visit	Nonaligned Movement	2012-06-29
Iran	Host a visit	Mahmoud Ahmadinejad	2013-03-14
Iran	Host a visit	Refugee (Afghanistan)	2012-10-15
Iran	Host a visit	Mahmoud Ahmadinejad	2013-05-18
Iran	Host a visit	Mahmoud Ahmadinejad	2009-04-01
Iran	Host a visit	Nuri al-Maliki	2008-06-22
Iran	Host a visit	China	2006-02-24
Iran	Host a visit	Iraq	2014-12-24
Iran	Host a visit	Javier Solana	2008-06-14
Iran	Host a visit	Muhammadu Buhari	2015-12-24
Iran	Host a visit	Daniel Ortega	2007-06-09
Iran	Host a visit	Javier Solana	2008-05-28
Iran	Host a visit	Julie Bishop	2015-04-20
Iran	Host a visit	Mahmoud Ahmadinejad	2007-10-23
Iran	Host a visit	Mahmoud Ahmadinejad	2013-06-27
Iran	Host a visit	Mahmoud Ahmadinejad	2006-11-06
Iran	Host a visit	Head of Government (India)	2013-08-04
Iran	Host a visit	Haider Al-Abadi	2014-10-23
Iran	Host a visit	Mahmoud Ahmadinejad	2006-12-19
Iran	Host a visit	Member of Legislative (Govt) (South Korea)	2014-01-21
Iran	Host a visit	Nuri al-Maliki	2007-08-09
Iran	Host a visit	Foreign Affairs (South Africa)	2013-07-25
Swaziland	Host a visit	Ma Ying Jeou	2012-04-16
Swaziland	Host a visit	Ann Margaret Veneman	2005-05-25
Swaziland	Host a visit	Foreign Affairs (Denmark)	2014-10-29
Swaziland	Host a visit	Angola	2008-10-20
Swaziland	Host a visit	Vincent C. Siew	2008-09-06
Iran	Express intent to meet or negotiate	Iraq	2012-04-21
Iran	Express intent to meet or negotiate	Ethiopian Investment Authority	2006-05-24
Iran	Express intent to meet or negotiate	Yemen	2007-05-29
Iran	Express intent to meet or negotiate	Nonaligned Movement	2012-07-09
Iran	Express intent to meet or negotiate	France	2005-10-12
Iran	Express intent to meet or negotiate	Economic Cooperation Organization	2013-11-02
Iran	Express intent to meet or negotiate	Nonaligned Movement	2012-08-23
Iran	Express intent to meet or negotiate	Javier Solana	2006-06-22
Iran	Express intent to meet or negotiate	Catherine Ashton	2010-12-01
Iran	Express intent to meet or negotiate	France	2005-03-22
Iran	Express intent to meet or negotiate	United Arab Emirates	2012-04-19
Iran	Express intent to meet or negotiate	UN Security Council	2013-02-07
Iran	Express intent to meet or negotiate	Sudan	2007-02-26
Iran	Express intent to meet or negotiate	Kazakhstan	2007-06-21
Iran	Express intent to meet or negotiate	France	2005-06-15
Iran	Express intent to meet or negotiate	China	2014-04-17
Iran	Express intent to meet or negotiate	France	2013-02-23
Iran	Express intent to meet or negotiate	Yemen	2013-12-23
Iran	Express intent to meet or negotiate	Javier Solana	2006-02-20
Iran	Express intent to meet or negotiate	Nonaligned Movement	2012-08-07
Iran	Express intent to meet or negotiate	Oman	2008-09-24
Iran	Express intent to meet or negotiate	Mahmoud Ahmadinejad	2013-03-06
Iran	Express intent to meet or negotiate	Yemen	2013-12-24
Iran	Express intent to meet or negotiate	Evo Morales	2007-01-14
Iran	Express intent to meet or negotiate	Yemen	2015-02-17
Iran	Express intent to meet or negotiate	Djibouti	2011-01-09
Iran	Express intent to meet or negotiate	Catherine Ashton	2010-07-28
