head	relation	tail	time
Ali Abdullah Saleh	Consult	Juan Carlos I	2008-01-29
Farm Worker (Ukraine)	Consult	Arseniy Yatsenyuk	2015-04-24
Iraq	Consult	Mahmoud Abbas	2009-04-13
Cambodia	Express intent to cooperate	Thailand	2005-12-19
South Korea	Consult	China	2015-05-21
Communist Party (India)	Consult	A.B. Bardhan	2005-04-23
Umaru Musa Yar'Adua	Engage in negotiation	Movement for Democratic Change	2009-03-19
Kim Kye Gwan	Consult	Envoy (United States)	2011-10-25
South Korea	Consult	China	2006-01-04
Defense / Security Ministry (Brunei)	Consult	Al-Muhtadee Billah	2005-03-10
South Korea	Consult	China	2010-05-24
Sudan	Consult	Ethiopia	2014-08-26
Dmitry Anatolyevich Medvedev	Sign formal agreement	Raúl Castro	2013-02-22
Citizen (Australia)	Consult	Julia Gillard	2011-04-07
Ireland	Sign formal agreement	South Korea	2009-12-21
Raúl Castro	Consult	Barack Obama	2015-04-12
Barack Obama	Consult	UN Security Council	2015-12-07
Yoshihiko Noda	Express intent to cooperate	Kim Hwang Sik	2012-11-06
China	Engage in diplomatic cooperation	Citizen (Greece)	2015-08-31
China	Sign formal agreement	France	2013-11-28
Media Personnel (Australia)	Discuss by telephone	Agence France-Presse	2005-10-10
Farm Worker (Nigeria)	Consult	Media (Nigeria)	2011-07-26
Citizen (Thailand)	Consult	Party Member (Thailand)	2013-01-21
Iran	Express intent to cooperate	Vietnam	2013-05-15
Angela Merkel	Discuss by telephone	Tony Blair	2006-08-02
Inter-Services Intelligence	Consult	Ashraf Ghani Ahmadzai	2015-01-12
Head of Government (India)	Consult	Christine Lagarde	2011-06-07
Barack Obama	Consult	Angela Merkel	2011-11-07
Angela Merkel	Consult	Alexis Tsipras	2013-10-29
Iran	Engage in negotiation	France	2005-02-23
Other Authorities / Officials (Mali)	Engage in negotiation	France	2015-02-10
Iran	Engage in diplomatic cooperation	Oman	2015-12-22
Lee Myung Bak	Consult	South Korea	2012-05-14
United Nations Interim Administration in Kosovo	Engage in negotiation	Javier Solana	2007-02-07
Evo Morales	Sign formal agreement	Rafael Correa	2009-06-29
China	Consult	Japan	2006-07-27
Dmitry Anatolyevich Medvedev	Consult	China	2013-10-28
Portugal	Consult	France	2008-05-17
Karl-Theodor zu Guttenberg	Consult	Business (Germany)	2009-05-04
South Korea	Express intent to cooperate	Japan	2007-03-08
Mahmoud Abbas	Consult	Nonaligned Movement	2012-08-31
Evo Morales	Consult	Bolivia	2009-04-24
Tzipi Livni	Consult	Mahmoud Abbas	2006-05-22
Japan	Consult	China	2010-05-17
Japan	Engage in negotiation	South Korea	2012-09-26
Japan	Express intent to cooperate	France	2014-06-05
Police (Malaysia)	Discuss by telephone	Agence France-Presse	2013-08-21
Dmitry Anatolyevich Medvedev	Consult	Angela Merkel	2009-07-08
South Korea	Consult	China	2007-06-20
Wen Jiabao	Engage in negotiation	Jakaya Mrisho Kikwete	2006-06-29
Iran	Consult	Islamic Preacher (Iran)	2011-01-30
Vietnam	Engage in diplomatic cooperation	China	2006-02-13
Denis Napthine	Consult	Citizen (Australia)	2015-08-30
Irakli Alasania	Consult	Ismet Yilmaz	2014-08-18
Mexico	Express intent to cooperate	Guatemala	2014-09-09
Jawad al-Bulani	Consult	Al Sharq al Awsat	2007-11-10
Barack Obama	Consult	Lee Myung Bak	2009-06-18
Iraq	Consult	Iran	2009-12-22
High Ranking Military Personnel (Syria)	Consult	Police (Syria)	2014-07-02
South Korea	Engage in negotiation	Japan	2005-11-14
Iran	Sign formal agreement	Tanzania	2007-12-01
Inquirer	Discuss by telephone	Police (Philippines)	2012-06-07
Iran	Engage in negotiation	France	2005-05-03
Japan	Sign formal agreement	China	2009-04-15
Ma Ying Jeou	Consult	Kuomintang	2013-06-14
Bill Richardson	Engage in negotiation	Kim Kye Gwan	2007-04-09
Lee Myung Bak	Express intent to cooperate	Wen Jiabao	2012-05-12
Magomedsalam Magomedov	Consult	Iran	2012-04-12
Japan	Consult	Vietnam	2011-08-10
Military (Mexico)	Consult	Air Force (Mexico)	2012-02-16
China	Consult	South Korea	2010-12-23
Malawi	Consult	South Africa	2005-05-31
Government (Sudan)	Engage in negotiation	UN Security Council	2007-06-18
African Union	Consult	Representatives (Libya)	2005-07-04
Vietnam	Sign formal agreement	Tanzania	2010-03-31
Milan Chovanec	Consult	UN Security Council	2014-06-23
Xi Jinping	Consult	Benjamin Netanyahu	2013-05-10
Lawmaker (Argentina)	Consult	Juan Manuel Urtubey	2005-08-31
Boris Johnson	Discuss by telephone	Daily Monitor	2010-02-22
Barack Obama	Consult	Xi Jinping	2013-05-30
Lee Myung Bak	Consult	Islam Karimov	2012-09-07
Japan	Express intent to cooperate	China	2005-01-05
Wen Jiabao	Consult	Head of Government (Qatar)	2012-01-19
China	Consult	South Africa	2010-01-24
Abu Bakr Abdullah al-Qirbi	Consult	Foreign Affairs (India)	2006-08-13
Malaysia	Engage in diplomatic cooperation	Thailand	2009-10-08
Barack Obama	Consult	UN Security Council	2014-08-28
Ethiopia	Express intent to cooperate	Sudan	2015-08-18
Islam Karimov	Consult	Muhammad VI	2011-07-28
Evo Morales	Consult	Cristina Fernández de Kirchner	2008-02-23
Cabinet / Council of Ministers / Advisors (Hungary)	Consult	Edgars Rinkevics	2014-12-10
Thailand	Express intent to cooperate	Maldives	2013-06-08
Japan	Engage in diplomatic cooperation	Association of Southeast Asian Nations	2007-11-22
South Sudan	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2013-10-02
Timor-Leste	Consult	Portugal	2015-07-03
Juan Carlos I	Consult	Mahmoud Abbas	2011-07-19
Iraq	Consult	Jack Straw	2006-04-04
Foreign Affairs (Belarus)	Consult	Foreign Affairs (Slovakia)	2006-03-27
Angola	Engage in diplomatic cooperation	Portugal	2010-04-14
Islam Karimov	Sign formal agreement	Kazakhstan	2010-03-19
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2009-08-15
France	Sign formal agreement	Yemen	2010-02-23
Cabinet / Council of Ministers / Advisors (Holy See (Vatican City State))	Consult	Raúl Castro	2008-02-25
Zine El Abidine Ben Ali	Consult	Mohamed Ould Abdel Aziz	2010-12-14
Government (Croatia)	Engage in negotiation	Labor Union (Croatia)	2012-06-04
Bogdan Klich	Consult	Bachana Akhalaia	2009-11-27
Barack Obama	Discuss by telephone	Angela Merkel	2015-03-27
Kim Kye Gwan	Consult	Joon Young Woo	2007-01-23
Union of Forces for Democracy and Development	Discuss by telephone	Agence France-Presse	2007-11-29
Mahmoud Ahmadinejad	Consult	Ministry (Iran)	2007-03-13
South Korea	Express intent to cooperate	Japan	2005-05-25
Seyoum Mesfin	Engage in negotiation	Alexander Vershbow	2010-01-26
Javier Solana	Engage in negotiation	Tzipi Livni	2007-05-21
South Korea	Express intent to cooperate	China	2007-06-10
Barack Obama	Consult	Benjamin Netanyahu	2011-05-17
Evo Morales	Consult	José Miguel Insulza	2013-11-14
United Arab Emirates	Consult	International Monetary Fund	2014-07-06
High Commission for Refugees	Consult	Other Authorities / Officials (Africa)	2006-06-09
China	Consult	South Korea	2015-07-08
Aigars Kalvitis	Sign formal agreement	Mikhail Yefimovich Fradkov	2007-12-19
Milo Djukanovic	Express intent to cooperate	Branko Crvenkovski	2006-01-10
Head of Government (Colombia)	Discuss by telephone	Associated Press	2006-04-03
Mahmoud Abbas	Consult	Benjamin Netanyahu	2015-07-17
Japan	Consult	China	2015-04-12
Mahmoud Ahmadinejad	Sign formal agreement	Ministry (Iran)	2010-07-25
South Korea	Meet at a 'third' location	Japan	2005-04-13
Oman	Engage in negotiation	United Arab Emirates	2011-12-19
Tony Blair	Meet at a 'third' location	Associated Press	2010-02-20
China	Express intent to cooperate	Iran	2012-06-08
South Korea	Express intent to cooperate	Japan	2006-05-04
Royal Administration (Saudi Arabia)	Consult	Nasser Judeh	2012-02-24
Tatarstan	Consult	Abdullah Gül	2009-09-27
Isaias Afewerki	Sign formal agreement	Ismaïl Omar Guelleh	2010-06-09
South Korea	Express intent to cooperate	China	2006-08-28
Malaysia	Engage in negotiation	Xi Jinping	2013-10-04
Sudan	Express intent to cooperate	South Sudan	2013-01-16
Pervez Musharraf	Engage in negotiation	Donald Rumsfeld	2005-04-14
China	Consult	Grand National Party	2010-03-25
Japan	Sign formal agreement	United Arab Emirates	2014-04-10
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Nasser Judeh	2012-06-14
Malawi	Consult	Mexico	2006-06-24
Tanzania	Engage in diplomatic cooperation	China	2013-03-23
Arseniy Yatsenyuk	Engage in negotiation	Jacob J. Lew	2015-12-23
Yuriy Yekhanurov	Engage in negotiation	Military (Ukraine)	2006-05-08
United Nations Interim Administration in Kosovo	Consult	City Mayor (Kosovo)	2007-05-11
Government (Sudan)	Sign formal agreement	China	2007-09-19
Japan	Consult	Tsai Ing-wen	2015-10-09
Kazakhstan	Sign formal agreement	Dmitry Anatolyevich Medvedev	2008-10-07
Antonis Samaras	Engage in negotiation	Angela Merkel	2012-08-31
Mahmoud Ahmadinejad	Discuss by telephone	Dmitry Anatolyevich Medvedev	2012-01-05
China	Engage in negotiation	Straits Exchange Foundation	2007-01-15
Tony Blair	Consult	Mahmoud Abbas	2007-05-16
John Dramani Mahama	Consult	Head of Government (Ghana)	2012-06-25
Barack Obama	Discuss by telephone	Alexis Tsipras	2015-01-28
Iraq	Engage in diplomatic cooperation	Iran	2011-01-11
Angela Merkel	Discuss by telephone	Barack Obama	2011-09-19
Segolene Royal	Consult	Middle East	2006-12-04
Media Personnel (Iran)	Consult	Mahmoud Ahmadinejad	2006-08-17
Qatar	Consult	Kuwait	2008-11-28
Mauritania	Engage in diplomatic cooperation	Yemen	2006-07-23
Media (India)	Consult	Head of Government (India)	2014-01-07
Kim Kye Gwan	Consult	Joon Young Woo	2007-03-05
Anupong Paochinda	Consult	Governor (Thailand)	2009-12-08
Yemen	Consult	Iran	2013-08-29
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2013-05-08
Sudan	Express intent to cooperate	Armed Separatist (Sudan People's Liberation Movement)	2005-03-25
Ma Ying Jeou	Engage in negotiation	Xi Jinping	2015-11-08
Ethiopia	Sign formal agreement	Sudan	2007-11-16
Thailand	Sign formal agreement	Iran	2013-04-24
Japan	Express intent to cooperate	South Korea	2008-01-16
Iran	Consult	Party Member (Iraq)	2006-08-25
Klaus Johannis	Consult	Angela Merkel	2015-02-26
Barack Obama	Consult	Japan	2011-09-22
Japan	Engage in negotiation	China	2010-07-27
Cristina Fernández de Kirchner	Sign formal agreement	Xi Jinping	2014-07-19
Valdas Adamkus	Consult	Regimantas Čiupaila	2008-03-20
Chuck Hagel	Consult	Abdel Fattah Al-Sisi	2013-07-30
Vietnam	Express intent to cooperate	Cambodia	2015-10-29
African Union	Consult	Mohamed Ibn Chambas	2010-02-21
Japan	Consult	China	2015-09-30
Rafael Correa	Consult	Raúl Castro	2009-08-26
Elias Murr	Consult	Nabih Berri	2010-04-23
Head of Government (Egypt)	Consult	Barack Obama	2012-09-13
Xi Jinping	Consult	Barack Obama	2013-06-03
China	Engage in negotiation	Straits Exchange Foundation	2008-04-21
Barack Obama	Engage in negotiation	Lee Myung Bak	2011-12-19
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2013-03-22
Bogdan Klich	Engage in negotiation	Government (Croatia)	2008-04-15
Raúl Castro	Consult	Cristina Fernández de Kirchner	2009-01-20
African Union	Consult	UN Security Council	2007-04-16
Japan	Engage in diplomatic cooperation	Vietnam	2015-01-20
Mikulas Dzurinda	Express intent to cooperate	Pavol Hrusovský	2005-11-07
Angola	Engage in diplomatic cooperation	Cape Verde	2012-04-11
Military Personnel - Special (India)	Consult	Director General (India)	2005-03-15
South Sudan	Consult	Sudan	2012-03-31
Xi Jinping	Engage in negotiation	China	2015-07-27
Barack Obama	Consult	Benjamin Netanyahu	2014-07-28
China	Express intent to cooperate	Japan	2006-01-25
RCN Televisión	Discuss by telephone	Attorney General (Colombia)	2005-05-13
Benjamin William Mkapa	Consult	Burundi	2005-04-26
Vietnam	Engage in diplomatic cooperation	China	2010-09-14
Tsai Ing-wen	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-06-05
Yoshihiko Noda	Consult	Representatives (Japan)	2012-08-07
China	Express intent to cooperate	Japan	2012-02-20
Zhang Dejiang	Consult	Ashraf Ghani Ahmadzai	2014-10-29
Wen Jiabao	Consult	Henry M. Paulson	2007-12-13
Malaysia	Express intent to cooperate	Thailand	2008-04-25
John Garang	Consult	Omar Suleiman	2005-02-08
Office of the United Nations High Commissioner for Human Rights	Engage in diplomatic cooperation	Mauritania	2011-01-05
Kim Kye Gwan	Meet at a 'third' location	Joon Young Woo	2008-02-21
Lawyer/Attorney (Uganda)	Consult	Resistance Movement (Uganda)	2008-03-10
Portugal	Sign formal agreement	Angola	2009-12-16
Associated Press	Discuss by telephone	Police (Peru)	2007-10-06
Military Personnel (Angola)	Consult	Angola	2011-02-18
Vietnam	Express intent to cooperate	Iraq	2007-12-12
Envoy (United States)	Consult	Inter-Services Intelligence	2009-08-18
Japan	Engage in negotiation	South Korea	2009-05-12
Bashir Ahmed	Consult	Head of Government (Bangladesh)	2015-06-11
Barack Obama	Consult	Nuri al-Maliki	2009-07-15
Lee Myung Bak	Consult	China	2009-10-09
Umaru Musa Yar'Adua	Engage in negotiation	Medical Personnel (Nigeria)	2009-12-16
Gustavo Gallon Giraldo	Consult	Rafael Antonio Bielsa	2005-02-07
Eric Chu	Consult	Xi Jinping	2015-04-25
Ramtane Lamamra	Consult	Moussa Faki Mahamat	2015-11-10
Colombia	Sign formal agreement	South Korea	2014-04-30
Mike Rann	Consult	Chris Bowen	2010-10-27
Islam Karimov	Consult	Lee Myung Bak	2008-02-25
Information Ministry (India)	Consult	Media (India)	2012-10-11
Government (Nigeria)	Sign formal agreement	Chevron	2008-10-08
Police (Australia)	Discuss by telephone	Citizen (Australia)	2006-07-07
Lawyer/Attorney (South Korea)	Consult	Roh Moo Hyun	2009-04-19
Panasonic	Sign formal agreement	Sumitomo Mitsui	2008-11-01
Portugal	Engage in diplomatic cooperation	Angola	2012-03-21
Cabinet / Council of Ministers / Advisors (Belgium)	Express intent to cooperate	Citizen (Belgium)	2006-09-27
Nuri al-Maliki	Consult	Mahmoud Abbas	2009-04-06
China	Consult	Abhisit Vejjajiva	2009-08-11
Raúl Castro	Sign formal agreement	Barack Obama	2015-07-19
France	Sign formal agreement	Mauritania	2013-11-21
Japan	Engage in negotiation	China	2014-09-25
Iran	Engage in negotiation	Iraq	2008-12-09
China	Consult	Shivraj Patil	2006-11-16
Iran	Engage in diplomatic cooperation	Iraq	2013-12-05
Vietnam	Consult	Xi Jinping	2015-11-06
France	Engage in negotiation	Japan	2008-07-09
Angela Merkel	Consult	Barack Obama	2013-11-01
Federal Judge (Argentina)	Consult	Raul Alfonsin	2007-01-19
Wen Jiabao	Consult	Foreign Affairs (France)	2012-07-10
María Ángela Holguín	Meet at a 'third' location	Office of the United Nations High Commissioner for Human Rights	2015-09-07
Dominican Republic	Consult	Belize	2005-12-01
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-08-25
Laos	Sign formal agreement	Thailand	2007-03-26
China	Consult	South Korea	2007-07-05
China	Consult	South Korea	2009-04-13
Thailand	Engage in diplomatic cooperation	Cambodia	2005-10-17
Barack Obama	Discuss by telephone	Mahmoud Abbas	2009-01-23
Criminal (Australia)	Consult	Lawyer/Attorney (Indonesia)	2005-10-13
South Korea	Consult	Japan	2006-07-31
South Korea	Engage in diplomatic cooperation	Vietnam	2009-08-21
Vietnam	Sign formal agreement	Laos	2007-09-11
Niger	Engage in diplomatic cooperation	China	2012-10-29
Isaias Afewerki	Express intent to cooperate	Mahmoud Ahmadinejad	2008-05-20
A.P. Sharma	Consult	Head of Government (India)	2013-07-30
Cambodia	Consult	China	2007-02-06
Mahmoud Abbas	Consult	George Yeo	2007-05-03
People First Party Korea	Consult	New Party (Taiwan)	2006-01-25
Japan	Express intent to cooperate	South Korea	2006-10-09
Iran	Sign formal agreement	UN Security Council	2007-01-03
Barack Obama	Engage in negotiation	Benjamin Netanyahu	2010-12-03
China	Engage in diplomatic cooperation	Vietnam	2008-06-22
Kuwait	Engage in negotiation	Iran	2014-06-03
Lee Myung Bak	Engage in negotiation	Barack Obama	2011-10-14
Abdel Fattah Al-Sisi	Discuss by telephone	Chuck Hagel	2013-10-13
China	Engage in negotiation	South Korea	2014-07-16
Raúl Castro	Meet at a 'third' location	Barack Obama	2015-04-11
Dmitry Anatolyevich Medvedev	Consult	Mahmoud Ahmadinejad	2011-06-18
Ma Ying Jeou	Consult	Kuomintang	2013-06-11
Japan	Consult	China	2014-06-24
Abdoulaye Wade	Consult	Head of Government (Qatar)	2005-09-17
Japan	Consult	China	2007-05-29
Mahmoud Abbas	Consult	Barack Obama	2008-11-04
Angela Merkel	Consult	Alexis Tsipras	2015-03-18
UN Security Council	Consult	Eritrea	2012-03-16
China	Consult	Japan	2008-12-12
South Korea	Sign formal agreement	China	2015-07-19
The Chronicle	Consult	New Patriotic Party	2008-03-12
Dmitry Anatolyevich Medvedev	Express intent to cooperate	Yoshihiko Noda	2011-09-06
Mwai Kibaki	Meet at a 'third' location	Head of Government (Nigeria)	2008-11-18
Nuri al-Maliki	Consult	Tony Blair	2006-12-18
Heinz Fischer	Consult	Branko Crvenkovski	2005-09-25
Abdul Aziz Abdul Ghani	Engage in negotiation	Foreign Affairs (France)	2006-03-22
Japan	Consult	Kazakhstan	2005-03-04
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-11-12
Head of Government (Qatar)	Engage in negotiation	Isaias Afewerki	2010-11-13
Mahmoud Abbas	Meet at a 'third' location	Royal Administration (Saudi Arabia)	2006-07-29
Kazakhstan	Consult	Economic Cooperation Organization	2005-09-30
South Korea	Express intent to cooperate	Japan	2014-12-29
Thailand	Express intent to cooperate	Laos	2011-10-31
Sheikh Hamad bin Isa al Khalifah	Consult	United Arab Emirates	2015-12-01
Laos	Express intent to cooperate	Cambodia	2008-05-06
Police (Israel)	Declare truce, ceasefire	Israeli Defense Forces	2009-04-19
Goran Svilanović	Consult	Mladen Ivanic	2006-07-07
Robert M. Kimmitt	Consult	Adil Abdul-Mahdi	2007-03-15
Member of Parliament (Australia)	Consult	Mike Rann	2011-01-18
Sudan	Consult	Bill Richardson	2007-02-07
France	Sign formal agreement	China	2015-07-22
Iraq	Sign formal agreement	Iran	2014-01-14
Kuwait	Consult	Qatar	2012-02-08
Aigars Kalvitis	Consult	Information / Communication / Transparency Ministry (Kazakhstan)	2006-05-23
Benedict XVI	Consult	Milo Djukanovic	2009-12-14
Education Ministry (China)	Consult	China	2009-10-27
Benjamin Netanyahu	Consult	Yair Lapid	2013-03-14
Head of Government (India)	Consult	Ananth Kumar	2014-09-15
Chuck Hagel	Consult	Sedki Sobhi	2014-09-22
Sam Nunn	Consult	Okada Katsuya	2009-10-08
China	Express intent to cooperate	Japan	2005-11-02
Government (Nigeria)	Sign formal agreement	Militant (Nigeria)	2007-12-11
Angela Merkel	Discuss by telephone	Mahmoud Abbas	2009-01-05
Rupiah Banda	Engage in negotiation	Head of Government (Chad)	2010-07-06
South Korea	Consult	Japan	2007-05-04
China	Engage in diplomatic cooperation	Cambodia	2015-10-23
Foreign Affairs (Belarus)	Consult	Ministry (Belarus)	2008-04-02
Ma Ying Jeou	Sign formal agreement	China	2009-07-06
South Africa	Express intent to cooperate	Lesotho	2015-05-25
Julia Gillard	Consult	Employee (Philippines)	2011-07-16
Vietnam	Express intent to cooperate	Laos	2009-08-04
Zurab Nogaideli	Consult	Mikhail Yefimovich Fradkov	2005-06-03
Angola	Consult	Tanzania	2010-02-02
Belize	Express intent to cooperate	Guatemala	2005-11-23
