head	relation_x	tail	time
South Africa	Host a visit	Joao Miranda	2008-05-08
Mexico	Host a visit	Barack Obama	2013-09-24
Iran	Host a visit	Angel Luis D'Elia	2010-04-07
Yemen	Host a visit	Mahmoud Abbas	2008-06-18
Cabinet / Council of Ministers / Advisors (United States)	Host a visit	Abdel Fattah Al-Sisi	2013-08-05
Thailand	Host a visit	Immigrants (North Korea)	2006-09-08
Ethiopia	Host a visit	Michael Sata	2013-02-06
Middle East	Host a visit	Benedict XVI	2009-05-06
South Africa	Host a visit	Uhuru Muigai Kenyatta	2015-06-13
France	Host a visit	African Union	2011-03-19
Vietnam	Host a visit	Laos	2008-11-05
Middle East	Host a visit	Javier Solana	2006-02-16
China	Host a visit	Wen Jiabao	2005-07-04
China	Host a visit	Oluṣẹgun Ọbasanjọ	2005-04-15
Niger	Host a visit	Muhammadu Buhari	2015-06-05
Bolivia	Host a visit	France	2013-07-03
China	Host a visit	Petar Čobanković	2006-01-17
Kuwait	Host a visit	Mahmoud Abbas	2007-10-28
Cambodia	Host a visit	Military Personnel (Thailand)	2009-08-26
United Arab Emirates	Host a visit	Islam Karimov	2008-03-17
Iraq	Host a visit	Nuri al-Maliki	2007-03-14
Iran	Host a visit	Supreme Council (Iraq)	2007-10-24
Djibouti	Host a visit	Ethiopia	2009-02-17
Japan	Host a visit	Laos	2009-01-23
Mexico	Host a visit	Royal Administration (Spain)	2015-06-29
Iran	Host a visit	France	2013-12-09
China	Host a visit	Barack Obama	2011-04-15
Iran	Host a visit	Emma Bonino	2013-12-20
Ethiopia	Host a visit	Mallam Isa Yuguda	2007-09-20
Japan	Host a visit	Donald Rumsfeld	2005-10-06
Mexico	Host a visit	Japan Self-Defense Forces	2014-01-05
Romania	Host a visit	Catherine Ashton	2009-07-09
Malaysia	Host a visit	Ma Ying Jeou	2011-11-07
China	Host a visit	Head of Government (India)	2014-06-28
South Korea	Host a visit	Defense / Security Ministry (New Zealand)	2011-04-27
Timor-Leste	Host a visit	John Faulkner	2009-10-04
Mauritania	Host a visit	Foreign Affairs (Israel)	2005-05-03
Education Ministry (Philippines)	Host a visit	Peter O'Neill	2015-11-16
Thailand	Host a visit	Anupong Paochinda	2007-10-30
Middle East	Host a visit	Barack Obama	2014-01-29
Romania	Host a visit	Head of Government (Germany)	2011-08-28
Yemen	Host a visit	Kuwait	2005-09-19
China	Host a visit	Kim Kye Gwan	2006-12-16
Bhutan	Host a visit	Finance / Economy / Commerce / Trade Ministry (India)	2014-08-04
Malawi	Host a visit	Juan José Daboub	2006-11-04
Japan	Host a visit	Ryutaro Hashimoto	2005-08-14
Thailand	Host a visit	Surakiart Sathirathai	2006-03-24
Kwesi Séléagodji Ahoomey-Zunu	Host a visit	Envoy (Spain)	2013-02-17
Saud bin Faisal bin Abdul-Aziz	Host a visit	Foreign Affairs (Syria)	2009-02-24
France	Host a visit	Antonis Samaras	2013-11-13
South Sudan	Host a visit	African Union	2010-03-01
Iran	Host a visit	Foreign Affairs (South Africa)	2005-11-15
Iran	Host a visit	Mahmoud Ahmadinejad	2010-10-19
Japan	Host a visit	Abdullah Gül	2010-05-05
Togo	Host a visit	Oluṣẹgun Ọbasanjọ	2005-06-03
Mexico	Host a visit	Barack Obama	2009-04-13
China	Host a visit	Dmitry Anatolyevich Medvedev	2010-11-12
Thailand	Host a visit	Head of Government (Pakistan)	2005-06-21
Ali Muhammad Mujawar	Host a visit	Mahmoud Abbas	2008-06-18
China	Host a visit	Jusuf Kalla	2006-04-18
Sudan	Host a visit	John Garang	2005-08-02
China	Host a visit	Cristina Fernández de Kirchner	2010-07-12
Oman	Host a visit	Transport (South Korea)	2011-01-22
Republic of South Ossetia	Host a visit	Citizen (Belarus)	2009-07-28
Iran	Host a visit	Emma Bonino	2013-12-24
Mahmoud Ahmadinejad	Host a visit	Wen Jiabao	2012-06-06
Thailand	Host a visit	Wang Yi	2013-05-02
China	Host a visit	Military (Laos)	2007-08-23
Xi Jinping	Host a visit	France	2014-03-28
Iran	Host a visit	Head of Government (Qatar)	2008-10-30
Thailand	Host a visit	Aree Wong Araya	2007-02-15
China	Host a visit	Antonis Samaras	2013-05-14
China	Host a visit	Scholar (United States)	2009-09-16
Kazakhstan	Host a visit	Ali Tayyebnia	2014-05-20
Mexico	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2009-03-25
China	Host a visit	Henry M. Paulson	2007-12-13
UN Security Council	Host a visit	Iran	2006-01-09
United Arab Emirates	Host a visit	Selmo Cikotic	2007-11-16
The Hague	Host a visit	International Government Organizations	2014-03-25
China	Host a visit	Head of Government (South Korea)	2012-05-12
Bolivia	Host a visit	Evo Morales	2013-11-10
Iran	Host a visit	Edgars Rinkevics	2014-04-28
Vietnam	Host a visit	Thongsing Thammavong	2011-03-01
Iran	Host a visit	Kuwait	2005-08-30
Angola	Host a visit	Dmitry Anatolyevich Medvedev	2009-06-29
Cambodia	Host a visit	Ministry (Vietnam)	2009-03-19
France	Host a visit	Qatar	2011-03-20
Japan	Host a visit	Xi Jinping	2009-12-10
Iraq	Host a visit	Iran	2008-04-10
Kazakhstan	Host a visit	Government (Belarus)	2009-02-26
Ethiopia	Host a visit	African Union	2007-04-04
Iran	Host a visit	Javier Solana	2008-06-18
China	Host a visit	Kuomintang	2013-10-25
Eritrea	Host a visit	Isaias Afewerki	2009-01-28
Sali Berisha	Host a visit	Solomon Passy	2006-03-06
South Korea	Host a visit	Presidential Family (North Korea)	2012-07-28
Kazakhstan	Host a visit	Citizen (Belarus)	2010-02-13
China	Host a visit	Head of Government (Guyana)	2005-07-20
Thailand	Host a visit	Foreign Affairs (Malaysia)	2007-06-29
China	Host a visit	Benjamin Netanyahu	2010-09-13
China	Host a visit	Envoy (United States)	2012-02-23
USS Cole	Host a visit	Admiral (Romania)	2015-02-12
France	Host a visit	Xi Jinping	2014-09-16
South Korea	Host a visit	Japan	2005-06-03
United Arab Emirates	Host a visit	Tony Blair	2007-11-22
Tanzania	Host a visit	Court Judge (Africa)	2013-02-25
Ministry (Sudan)	Host a visit	Isaias Afewerki	2010-05-26
Ethiopia	Host a visit	African Union	2015-05-14
South Korea	Host a visit	Roh Moo Hyun	2007-09-13
Indigenous People (Serbia)	Host a visit	Hashim Thaçi	2008-02-05
Muhammad VI	Host a visit	Niger	2010-03-12
United Arab Emirates	Host a visit	Head of Government (Egypt)	2011-05-08
Sudan	Host a visit	Peace and Security Council	2007-05-22
Kazakhstan	Host a visit	Mahmoud Ahmadinejad	2009-04-07
Tanzania	Host a visit	Burundi	2011-04-28
China	Host a visit	Kuomintang	2005-04-19
China	Host a visit	Mahmoud Abbas	2005-05-24
Sudan	Host a visit	Saud bin Faisal bin Abdul-Aziz	2006-03-30
Kamaladdin Heydarov	Host a visit	Iran	2015-01-29
Vietnam	Host a visit	Philipp Rösler	2012-09-18
France	Host a visit	Thongsing Thammavong	2007-11-08
South Korea	Host a visit	Japan	2014-03-12
Vietnam	Host a visit	Laos	2013-11-14
China	Host a visit	Edward Natapei	2009-09-11
Niger	Host a visit	African Union	2009-07-23
Iraq	Host a visit	Citizen (United Kingdom)	2014-08-21
China	Host a visit	Japan	2014-07-24
Iran	Host a visit	Pervez Musharraf	2005-12-18
France	Host a visit	Henri Konan Bedie	2005-09-11
Ethiopia	Host a visit	African Union	2008-02-07
Japan	Host a visit	Juan Carlos I	2008-11-13
Japan	Host a visit	Angela Merkel	2014-12-11
China	Host a visit	Henry M. Paulson	2006-09-14
Iran	Host a visit	Sergey Kuzhugetovich Shoygu	2015-04-14
Yemen	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2011-01-27
Ethiopia	Host a visit	Uhuru Muigai Kenyatta	2014-01-31
Lee Myung Bak	Host a visit	Abdul Kalam	2008-03-01
The Hague	Host a visit	Uhuru Muigai Kenyatta	2011-09-22
Iran	Host a visit	Nuri al-Maliki	2015-09-18
Bhutan	Host a visit	Combatant (Taliban)	2008-08-11
Kuwait	Host a visit	Nuri al-Maliki	2008-04-21
Vietnam	Host a visit	Jack Straw	2008-09-12
Middle East	Host a visit	Javier Solana	2007-01-18
China	Host a visit	Ahmed Adeeb	2015-10-25
China	Host a visit	Raphael Tuju	2006-10-24
China	Host a visit	Head of Government (Portugal)	2007-01-28
Iran	Host a visit	Daniel Mitov	2015-12-21
Guinea-Bissau	Host a visit	Angola	2014-06-25
Eritrea	Host a visit	Sudan People's Liberation Army	2006-05-25
Japan	Host a visit	Lee Myung Bak	2010-03-08
Sudan	Host a visit	African Union	2005-05-22
Iran	Host a visit	Mahmoud Ahmadinejad	2007-06-13
Thailand	Host a visit	Japan	2008-03-20
China	Host a visit	Boris Vyacheslavovich Gryzlov	2005-06-15
United Arab Emirates	Host a visit	Gerhard Schröder	2005-03-05
Bahamas	Host a visit	Indigenous People (United States)	2013-09-01
South Korea	Host a visit	Defense / Security Ministry (United States)	2008-06-12
China	Host a visit	Sergey Kuzhugetovich Shoygu	2014-11-17
Zalmai Rassoul	Host a visit	Foreign Affairs (India)	2011-01-11
Iraq	Host a visit	Indigenous People (United Kingdom)	2014-12-31
France	Host a visit	Interim Leader (Iraq)	2005-01-13
Ivan Gasparovic	Host a visit	Richard Sulík	2011-11-25
China	Host a visit	Cristina Fernández de Kirchner	2015-03-01
Angola	Host a visit	Government Official (Namibia)	2009-07-21
China	Host a visit	Linda Lingle	2010-08-11
France	Host a visit	Israeli Defense Forces	2006-11-21
Vietnam	Host a visit	Foreign Affairs (Italy)	2007-04-30
Kuwait	Host a visit	Ali Abdullah Saleh	2009-01-19
China	Host a visit	Lee Myung Bak	2008-09-30
Iran	Host a visit	Rehman Malik	2010-08-22
China	Host a visit	Jusuf Kalla	2007-06-09
Iran	Host a visit	Mahmoud Ahmadinejad	2009-08-20
Iran	Host a visit	Mahmoud Ahmadinejad	2009-11-19
China	Host a visit	Dmitry Anatolyevich Medvedev	2015-12-14
Trinidad and Tobago	Host a visit	Tony Blair	2012-08-01
United Arab Emirates	Host a visit	Tan Sri Muhyiddin Yassin	2014-04-14
Ethiopia	Host a visit	African Union	2011-01-30
China	Host a visit	South Korea	2007-04-27
Malaysia	Host a visit	Gazprom	2007-06-20
Tanzania	Host a visit	Mwai Kibaki	2006-03-23
South Korea	Host a visit	Julia Gillard	2011-04-27
Iran	Host a visit	Lawmaker (Lebanon)	2014-03-12
France	Host a visit	Mustafa Tlass	2012-03-18
Romania	Host a visit	Head of Government (Greece)	2007-02-16
China	Host a visit	South Korea	2010-01-28
Iraq	Host a visit	Barack Obama	2009-04-17
Cristina Fernández de Kirchner	Host a visit	Mario Das Neves	2009-07-31
Ethiopia	Host a visit	Angela Merkel	2007-10-04
Sudan	Host a visit	UN Security Council	2006-06-01
Middle East	Host a visit	Javier Solana	2006-10-25
China	Host a visit	Ministry (Switzerland)	2013-05-24
China	Host a visit	Head of Government (Turkmenistan)	2006-04-05
South Africa	Host a visit	Evo Morales	2006-01-07
Alberto Fernández	Host a visit	José Dirceu de Oliveira e Silva	2005-02-24
Iraq	Host a visit	Education (Iran)	2012-10-20
Ireland	Host a visit	Emperor Akihito	2005-04-25
Kazakhstan	Host a visit	Abdullah Gül	2007-12-20
Trinidad and Tobago	Host a visit	Barack Obama	2009-04-19
Cambodia	Host a visit	Citizen (Thailand)	2009-12-25
China	Host a visit	Government Official (Taiwan)	2007-06-21
China	Host a visit	Mainland Affairs Council	2014-01-28
South Africa	Host a visit	Tony Blair	2006-03-17
China	Host a visit	Governor (Japan)	2014-10-28
Kazakhstan	Host a visit	Shimon Peres	2009-06-27
Dmitry Anatolyevich Medvedev	Host a visit	Head of Government (Mongolia)	2008-05-16
Aceh	Host a visit	Sudan	2009-12-13
China	Host a visit	Wu Po-hsiung	2009-05-25
Iran	Host a visit	Ali Abdullah Saleh	2015-03-03
Angola	Host a visit	South Africa	2007-06-20
Malaysia	Host a visit	Roh Moo Hyun	2005-12-20
Qatar	Host a visit	Head of Government (Egypt)	2010-11-23
Romania	Host a visit	Foreign Affairs (Hungary)	2008-09-22
South Korea	Host a visit	Lawmaker (Japan)	2011-10-19
Iran	Host a visit	Davit Usupashvili	2015-08-09
Vietnam	Host a visit	Assemblies (Cambodia)	2009-01-22
China	Host a visit	City Mayor (Latvia)	2012-06-25
Curacao	Host a visit	Julie Bishop	2014-09-04
China	Host a visit	Japan	2013-01-15
Iran	Host a visit	Ministry (Senegal)	2009-09-23
Japan	Host a visit	Abdel Fattah Al-Sisi	2015-11-27
China	Host a visit	Algirdas Butkevičius	2006-09-25
United Arab Emirates	Host a visit	Lee Myung Bak	2009-12-25
Dominican Republic	Host a visit	Naval (United States)	2006-04-18
Mauritania	Host a visit	Mahmoud Abbas	2008-03-15
Middle East	Host a visit	Barack Obama	2008-07-29
Barack Obama	Host a visit	Angela Merkel	2014-05-03
Vietnam	Host a visit	ASEAN Defense Ministers	2010-10-13
Cambodia	Host a visit	Abhisit Vejjajiva	2009-06-22
Sudan	Host a visit	South Sudan	2006-10-20
Japan	Host a visit	Democratic Party	2011-06-29
Head of Government (Egypt)	Host a visit	Saud bin Faisal bin Abdul-Aziz	2014-09-08
Japan	Host a visit	Ed Royce	2013-01-25
Education (United States)	Host a visit	Armed Gang (Palestinian Territory, Occupied)	2005-12-21
Trinidad and Tobago	Host a visit	Xi Jinping	2013-06-04
Charles Rabemananjara	Host a visit	South Africa	2008-12-04
Iran	Host a visit	Mahmoud Ahmadinejad	2007-08-27
Benjamin Netanyahu	Host a visit	France	2013-11-17
Angola	Host a visit	Candida Celeste da Silva	2008-03-18
Saud bin Faisal bin Abdul-Aziz	Host a visit	Foreign Affairs (Mauritania)	2007-07-14
United Arab Emirates	Host a visit	UN Security Council	2015-03-04
Thailand	Host a visit	Anupong Paochinda	2008-07-10
Mexico	Host a visit	Barack Obama	2014-02-21
China	Host a visit	Boris Vyacheslavovich Gryzlov	2005-06-18
South Sudan	Host a visit	Amina Mohamed	2015-06-06
China	Host a visit	Lawmaker (Japan)	2015-05-04
Education (Pakistan)	Host a visit	Shaukat Aziz	2005-12-15
Kazakhstan	Host a visit	Mahmoud Ahmadinejad	2011-06-17
Japan	Host a visit	Dmitry Anatolyevich Medvedev	2008-07-11
Cambodia	Host a visit	Vietnam	2007-08-28
Japan	Host a visit	Wen Jiabao	2007-07-14
Thailand	Host a visit	Indigenous People (United Kingdom)	2009-12-02
Angola	Host a visit	João Baptista Kussumua	2012-07-06
Middle East	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-07-21
China	Host a visit	Maumoon Abdul Gayoom	2006-09-10
Dominican Republic	Host a visit	Luis Fortuño	2010-10-13
Iran	Host a visit	Mahmoud Ahmadinejad	2011-10-25
African Union	Host a visit	Abdel Fattah Al-Sisi	2013-09-02
Joachim Gauck	Host a visit	Royal Administration (Spain)	2014-12-01
Iran	Host a visit	Javier Solana	2007-03-30
France	Host a visit	Ingrid Betancourt Pulecio	2008-11-29
Middle East	Host a visit	Roh Moo Hyun	2007-03-26
Umaru Musa Yar'Adua	Host a visit	Head of Government (Togo)	2009-05-20
Laos	Host a visit	Le Hong Anh	2015-04-15
Iran	Host a visit	Foreign Affairs (France)	2007-07-24
Cambodia	Host a visit	Defense / Security Ministry (United States)	2012-11-16
France	Host a visit	UN Security Council	2007-10-06
Raúl Castro	Host a visit	Bruce Golding	2008-05-06
Iran	Host a visit	Mahmoud Ahmadinejad	2010-05-26
Heinz Fischer	Host a visit	Massoud Barzani	2015-02-14
Head of Government (Pakistan)	Host a visit	Ashraf Ghani Ahmadzai	2014-11-16
China	Host a visit	Japan Self-Defense Forces	2008-06-19
China	Host a visit	Head of Government (India)	2009-04-04
China	Host a visit	Arnold Rüütel	2005-08-30
Mexico	Host a visit	John Paul II	2008-05-01
Burundi	Host a visit	Hamadoun Touré	2011-04-18
Eritrea	Host a visit	Naval (United States)	2005-02-20
Iraq	Host a visit	Kostyantyn Gryshchenko	2012-11-20
Middle East	Host a visit	Chuck Hagel	2013-04-22
Togo	Host a visit	John Dramani Mahama	2015-04-28
China	Host a visit	Kuomintang	2005-03-29
China	Host a visit	Governor (Japan)	2013-11-06
Vietnam	Host a visit	Cristina Fernández de Kirchner	2013-01-18
Japan	Host a visit	Barack Obama	2010-11-06
Colombia	Host a visit	Barack Obama	2012-04-24
Mahmoud Abbas	Host a visit	Nasser Judeh	2012-07-13
Kazakhstan	Host a visit	Gurbanguly Berdymukhammedov	2008-07-07
Japan	Host a visit	Joon Young Woo	2006-07-20
China	Host a visit	Ma Ying Jeou	2013-03-02
China	Host a visit	Kuomintang	2012-03-21
Eritrea	Host a visit	John Garang	2005-04-26
Japan	Host a visit	Barack Obama	2014-01-28
Kuwait	Host a visit	UAE Armed Forces	2006-01-17
Middle East	Host a visit	Joe Manchin	2006-04-17
China	Host a visit	Barack Obama	2014-03-22
Angola	Host a visit	João Baptista Kussumua	2013-11-13
Yemen	Host a visit	USAID	2007-10-31
South Sudan	Host a visit	UN Mission in Sudan	2009-03-29
Angola	Host a visit	Dmitry Olegovich Rogozin	2013-10-07
China	Host a visit	South Korea	2005-02-17
Iran	Host a visit	Catherine Ashton	2014-01-11
Sudan	Host a visit	African Union	2009-05-17
Iran	Host a visit	Portugal	2014-01-25
Mauritania	Host a visit	Ibrahim Boubacar Keïta	2014-02-16
Armed Separatist (China)	Host a visit	Association of Southeast Asian Nations	2010-10-09
France	Host a visit	Dmitry Anatolyevich Medvedev	2008-11-13
China	Host a visit	Tourist (South Korea)	2005-09-08
Angola	Host a visit	African Union	2006-11-03
France	Host a visit	Thailand	2011-04-27
Kuwait	Host a visit	Head of Government (Egypt)	2015-02-01
China	Host a visit	Head of Government (Turkmenistan)	2012-02-18
Japan	Host a visit	James Wolfensohn	2006-07-10
Portugal	Host a visit	Abu Salem	2005-11-14
Kazakhstan	Host a visit	Xi Jinping	2015-05-12
China	Host a visit	Mainland Affairs Council	2013-08-27
Cambodia	Host a visit	City Mayor (United States)	2015-01-15
Mauritania	Host a visit	Foreign Affairs (Italy)	2010-01-12
China	Host a visit	Pervez Musharraf	2006-02-18
Legislature (Turkey)	Host a visit	Foreign Affairs (Israel)	2012-11-18
China	Host a visit	Badr al-Din Mahmoud	2015-01-31
China	Host a visit	Barack Obama	2009-12-02
Qatar	Host a visit	Envoy (United States)	2013-06-23
Oman	Host a visit	Iran	2010-08-06
Japan	Host a visit	Lee Myung Bak	2010-01-08
China	Host a visit	Dmitry Anatolyevich Medvedev	2009-12-22
Guatemala	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-10-21
Kuomintang	Host a visit	Envoy (United States)	2005-05-06
Bolivia	Host a visit	Mahmoud Ahmadinejad	2009-12-02
China	Host a visit	Japan Self-Defense Forces	2008-04-23
Yemen	Host a visit	Media Personnel (Saudi Arabia)	2015-05-22
Bolivia	Host a visit	Cristina Fernández de Kirchner	2015-07-15
Iran	Host a visit	Nabih Berri	2013-11-24
South Sudan	Host a visit	Armed Rebel (Lord's Resistance Army)	2007-07-18
Thailand	Host a visit	Foreign Affairs (Zambia)	2009-03-30
France	Host a visit	Shimon Peres	2005-04-15
Romania	Host a visit	Naval (United States)	2008-08-25
Vietnam	Host a visit	Al-Muhtadee Billah	2006-03-13
China	Host a visit	Okada Katsuya	2010-12-06
Thailand	Host a visit	Head of Government (Pakistan)	2013-11-21
Ireland	Host a visit	Barack Obama	2011-05-29
Other Authorities / Officials (Russia)	Host a visit	Dmitry Anatolyevich Medvedev	2008-11-07
Japan	Host a visit	Head of Government (South Korea)	2012-10-10
Sudan	Host a visit	Envoy (United States)	2009-04-06
Thailand	Host a visit	Valdas Adamkus	2007-11-28
Angola	Host a visit	Ricardo Alarcón de Quesada	2012-06-29
China	Host a visit	Lien Chan	2007-03-16
Romania	Host a visit	Gurbanguly Berdymukhammedov	2011-05-15
France	Host a visit	Cristina Fernández de Kirchner	2007-02-04
Iran	Host a visit	Jack Straw	2014-01-09
China	Host a visit	Main Opposition (Kuomintang)	2005-08-17
Vietnam	Host a visit	Takahiro Yokomichi	2006-08-01
China	Host a visit	Shigeru Ishiba	2009-03-19
Iran	Host a visit	Nonaligned Movement	2012-08-02
South Korea	Host a visit	Barack Obama	2009-11-14
China	Host a visit	Oman	2014-11-11
Kazakhstan	Host a visit	Algirdas Butkevičius	2015-05-21
Sudan	Host a visit	High Commission for Refugees	2012-01-16
Ireland	Host a visit	Bertie Ahern	2005-06-07
Iran	Host a visit	Mahmoud Ahmadinejad	2008-01-30
Iran	Host a visit	Emma Bonino	2013-11-20
Oman	Host a visit	A.K. Antony	2010-05-15
Herman Van Rompuy	Host a visit	Xi Jinping	2014-04-01
Oman	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2013-05-21
Iran	Host a visit	Oman	2008-04-25
South Korea	Host a visit	Japan	2008-02-24
Romania	Host a visit	Tony Blair	2008-06-28
Iraq	Host a visit	High Commission for Refugees	2008-11-11
Scholar (United States)	Host a visit	Ma Ying Jeou	2013-07-04
Iraq	Host a visit	Nuri al-Maliki	2006-09-02
China	Host a visit	Mahmoud Abbas	2013-05-05
Foreign Affairs (Israel)	Host a visit	Shimon Peres	2009-11-17
Tanzania	Host a visit	East African Community	2015-05-27
Vietnam	Host a visit	Qatar	2012-01-13
France	Host a visit	Royal Administration (Spain)	2006-03-28
The Hague	Host a visit	Uhuru Muigai Kenyatta	2013-09-10
Japan	Host a visit	Gazprom	2007-09-08
China	Host a visit	Head of Government (Germany)	2010-07-18
China	Host a visit	Kuomintang	2009-06-01
China	Host a visit	Justice and Development Party	2005-07-06
Japan	Host a visit	Emperor Akihito	2005-08-20
