,head,relation,tail,time
7685,Protester (India),"Protest violently, riot",Military Personnel - Special (India),2006-09-27
7686,Ministry (Sudan),Make statement,Sudan,2006-06-15
7687,Portugal,Praise or endorse,Angola,2013-02-21
7688,Qatar,Praise or endorse,Iran,2015-07-16
7689,Yasuo Fukuda,Make a visit,China,2007-12-11
7690,Police (Australia),Investigate,Criminal (Australia),2010-08-31
7691,Citizen (Sudan),Make an appeal or request,Government (Sudan),2012-03-20
7692,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Angela Merkel,2008-07-07
7693,Japan,Engage in negotiation,China,2006-10-04
7694,Head of Government (Germany),Praise or endorse,Yemen,2013-05-16
7695,Police (Australia),Make empathetic comment,Citizen (Australia),2015-10-03
7696,Iran,Host a visit,Foreign Affairs (France),2015-07-29
7697,Donald Rumsfeld,Make statement,Iraq,2005-06-24
7698,Israeli Defense Forces,Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)",2006-08-31
7699,Qin Gang,Make statement,China,2008-06-10
7700,Business (Germany),Express intent to meet or negotiate,Angela Merkel,2013-04-11
7701,Wen Jiabao,Make a visit,Japan,2007-04-06
7702,France,Make an appeal or request,European Central Bank,2012-09-05
7703,National Action Party (Mexico),Make an appeal or request,Military (Mexico),2005-08-16
7704,Ireland,Host a visit,Elizabeth II,2014-04-08
7705,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,United Russia,2006-10-31
7706,Cambodia,Engage in diplomatic cooperation,Vietnam,2014-12-18
7707,Head of Government (Pakistan),Make an appeal or request,Pakistan People's Party,2007-11-09
7708,China,Host a visit,Shivraj Patil,2005-09-06
7709,Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2013-02-01
7710,Irakli Okruashvili,"Accuse of crime, corruption",Government (Georgia),2007-10-01
7711,France,Make statement,UN Security Council,2015-11-20
7712,African Union,Make a visit,France,2006-02-02
7713,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Surakiart Sathirathai,2006-06-20
7714,Head of Government (South Korea),Consult,Barack Obama,2011-12-19
7715,Maldives,Express intent to engage in diplomatic cooperation (such as policy support),China,2007-07-06
7716,Thief (Norway),"Abduct, hijack, or take hostage",Citizen (Norway),2005-03-07
7717,Scottish Government,Express intent to provide military aid,Citizen (United Kingdom),2010-07-02
7718,South Korea,Criticize or denounce,Japan,2005-11-08
7719,Head of Government (Nigeria),Make statement,Government (Nigeria),2008-08-15
7720,Military Personnel (Yemen),Make statement,Governor (Yemen),2015-08-15
7721,China,Host a visit,Barack Obama,2015-06-11
7722,China,Host a visit,Lee Myung Bak,2008-09-29
7723,Pervez Musharraf,Make statement,Government (Pakistan),2005-11-04
7724,Military Personnel - Special (France),Mobilize or increase armed forces,France,2005-07-11
7725,Rupiah Banda,Make statement,Ruling Party (Zambia),2008-06-13
7726,Head of Government (Egypt),Engage in negotiation,Royal Administration (Saudi Arabia),2012-07-12
7727,Nuri al-Maliki,Make a visit,Iran,2015-09-18
7728,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2007-11-16
7729,Kazakhstan,Make an appeal or request,Iran,2013-02-28
7730,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2007-01-08
7731,Iran,Host a visit,Head of Government (Pakistan),2007-02-06
7732,Rebel Group (Tanzania),Express intent to meet or negotiate,Government (Burundi),2005-04-13
7733,South Korea,Express intent to meet or negotiate,Lee Myung Bak,2009-05-18
7734,Women (China),"Defy norms, law",China,2009-11-25
7735,Romania,Sign formal agreement,International Monetary Fund,2014-02-04
7736,Qatar,Host a visit,Kuwait,2009-03-04
7737,African Union,Make a visit,Sudan,2010-03-18
7738,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-06-05
7739,Police (Australia),Investigate,Citizen (Australia),2012-03-23
7740,Lawyer/Attorney (Kenya),Demand,Student (Kenya),2013-01-18
7741,Head of Government (Egypt),Consult,Nicos Anastasiades,2015-12-10
7742,Israeli Defense Forces,Make statement,Police (Israel),2008-03-20
7743,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-08-22
7744,South Africa,Host a visit,Barack Obama,2013-06-27
7745,African Union,Sign formal agreement,Government (Sudan),2007-04-10
7746,Insurgent (Thailand),"Conduct suicide, car, or other non-military bombing",Citizen (Thailand),2013-09-15
7747,Mauritania,Consult,Niger,2015-01-05
7748,Sudan,"Arrest, detain, or charge with legal action",Citizen (Sudan),2012-07-09
7749,Alexis Tsipras,Make an appeal or request,Antonis Samaras,2013-06-09
7750,Iraq,Host a visit,Donald Rumsfeld,2005-02-09
7751,Tony Blair,Make statement,Gerhard Schröder,2005-12-09
7752,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2005-04-04
7753,Police (Uganda),"Arrest, detain, or charge with legal action",Women (Uganda),2010-06-14
7754,Vietnam,Engage in diplomatic cooperation,Japan,2014-09-15
7755,Ministry (Nigeria),Make statement,Government (Nigeria),2012-10-09
7756,Police (Australia),"Investigate crime, corruption",Citizen (Australia),2006-11-11
7757,Japan,Host a visit,China,2009-12-11
7758,Economist (China),Make an appeal or request,China,2009-07-16
7759,China,Criticize or denounce,Tsai Ing-wen,2015-10-10
7760,Iran,Make an appeal or request,Mahmoud Ahmadinejad,2006-08-25
7761,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-02-13
7762,Head of Government (Egypt),Engage in symbolic act,Head of Government (Cyprus),2015-04-29
7763,Secret Agent (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2011-12-29
7764,France,Express intent to meet or negotiate,Iran,2011-09-23
7765,Chung Sye Kyun,Make statement,Democratic Party,2009-02-26
7766,Kuomintang,Make a visit,China,2006-09-08
7767,Military Personnel (Angola),Make statement,Angola,2014-01-21
7768,South Korea,Host a visit,Japan,2006-05-23
7769,China,"Arrest, detain, or charge with legal action",Criminal (China),2009-04-15
7770,Citizen (Nigeria),Express accord,Muhammadu Buhari,2010-06-11
7771,Barack Obama,Demand,Xi Jinping,2013-06-11
7772,Malaysia,Praise or endorse,National Front Malaysia,2008-02-28
7773,Police (Australia),Accuse,Citizen (Australia),2007-07-18
7774,Seyoum Mesfin,Make an appeal or request,Ethiopia,2007-01-29
7775,China,Express intent to cooperate,South Korea,2015-03-26
7776,Catherine Ashton,Make an appeal or request,Ali Abdullah Saleh,2011-09-20
7777,Media (Africa),Discuss by telephone,Military Personnel (Central African Republic),2011-06-16
7778,Citizen (United Kingdom),Bring lawsuit against,Newspaper (United Kingdom),2005-08-03
7779,Kuwait,Make statement,Iraq,2008-06-26
7780,Associated Press,Consult,Benazir Bhutto,2007-09-16
7781,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2015-05-08
7782,Takahiro Yokomichi,Engage in negotiation,House of Representatives (Japan),2010-10-27
7783,Military (Philippines),"Arrest, detain, or charge with legal action",Military Personnel (Philippines),2008-10-27
7784,Tanzania,Make statement,Police (Tanzania),2013-09-18
7785,Dmitry Anatolyevich Medvedev,Consult,UN Security Council,2009-03-24
7786,France,Host a visit,Iraq,2006-11-03
7787,Ivica Kirin,Reject,Citizen (Croatia),2007-06-13
7788,Catherine Ashton,Make an appeal or request,Other Authorities / Officials (Egypt),2013-07-29
7789,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2015-12-04
7790,Member of Parliament (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Australia),2011-10-16
7791,Middle East,Host a visit,Barack Obama,2008-08-03
7792,African Union,"Conduct suicide, car, or other non-military bombing",South Sudan,2012-04-11
7793,Angela Merkel,Praise or endorse,Other Authorities / Officials (Russia),2006-04-26
7794,South Africa,Make statement,Police (South Africa),2008-12-22
7795,Police (Kenya),Use conventional military force,Men (Kenya),2007-06-23
7796,Joschka Fischer,Express intent to meet or negotiate,Middle East,2005-07-11
7797,Vietnam,Make a visit,Malaysia,2011-07-11
7798,Raul Hernandez,Make statement,China,2014-02-26
7799,Cristina Fernández de Kirchner,Demand,Senate (Argentina),2008-07-16
7800,Armed Gang (Thailand),Use unconventional violence,Villager (Thailand),2012-04-12
7801,Sudan People's Liberation Army,Make statement,Sudan,2014-03-21
7802,China,Express intent to meet or negotiate,France,2008-04-13
7803,Government Official (Japan),Make an appeal or request,China,2006-01-05
7804,Cambodia,Engage in diplomatic cooperation,China,2010-12-03
7805,Military Personnel (Thailand),Seize or damage property,Thailand,2005-11-09
7806,Georgios Papandreou,Express intent to meet or negotiate,Citizen (Greece),2007-02-23
7807,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-12-05
7808,Abhisit Vejjajiva,Make a visit,Citizen (Thailand),2012-04-30
7809,Police (South Africa),Seize or damage property,South Africa,2010-09-24
7810,Barack Obama,Discuss by telephone,Head of Government (Egypt),2012-11-19
7811,Oluṣẹgun Ọbasanjọ,Consult,Roh Moo Hyun,2006-03-10
7812,Liberal National Party,Reject,Citizen (Australia),2010-01-29
7813,Mahmoud Abbas,Consult,Javier Solana,2007-01-19
7814,China,Sign formal agreement,Togo,2015-05-01
7815,Abu Bakr Abdullah al-Qirbi,Consult,Foreign Affairs (Italy),2010-01-12
7816,Barack Obama,Express intent to meet or negotiate,Iran,2009-03-12
7817,Jacob J. Lew,Consult,Alexis Tsipras,2015-06-22
7818,Combatant (Taliban),Use unconventional violence,Military Personnel - Special (Afghanistan),2011-07-29
7819,Activist (Syria),Make statement,Armed Rebel (Syria),2012-07-19
7820,Foreign Affairs (Lebanon),Make statement,Iran,2012-07-13
7821,Foreign Affairs (South Korea),Make an appeal or request,Iran,2005-10-20
7822,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2010-06-25
7823,China,Appeal for intelligence,Malaysia,2005-11-30
7824,Armed Gang (Thailand),Use unconventional violence,Citizen (Thailand),2005-07-13
7825,France,Criticize or denounce,Military (Russia),2014-05-10
7826,Iran,Sign formal agreement,France,2005-05-27
7827,José Dirceu de Oliveira e Silva,Express intent to meet or negotiate,Ministry (Brazil),2005-04-01
7828,Director General (Thailand),Engage in symbolic act,Noppadon Pattama,2008-02-29
7829,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2010-03-16
7830,Military Personnel (Thailand),Make statement,Sondhi Limthongkul,2005-11-11
7831,Dora Akunyili,Make statement,Government (Nigeria),2010-07-09
7832,China,Host a visit,Barack Obama,2014-11-10
7833,Education (Nigeria),Sexually assault,Citizen (Nigeria),2011-05-12
7834,Eritrea,Consult,Sudan,2014-05-08
7835,Angela Merkel,Make empathetic comment,Benjamin Netanyahu,2014-01-11
7836,Other Authorities / Officials (Romania),Make optimistic comment,Romania,2006-07-02
7837,Military Personnel (Thailand),Make statement,Thailand,2014-06-24
7838,Media Personnel (Pakistan),Make statement,High Commission (United Kingdom),2008-06-12
7839,Presidential Candidate (Afghanistan),Make an appeal or request,Election Commission (Afghanistan),2010-02-23
7840,Democratic Party,Sign formal agreement,Motherland Party,2007-05-05
7841,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2007-11-22
7842,Abdullah Gül,Make a visit,Kazakhstan,2007-12-20
7843,United Arab Emirates,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2006-07-06
7844,China,Criticize or denounce,Japan,2012-09-07
7845,Justicialist Party,Praise or endorse,Cristina Fernández de Kirchner,2011-05-28
7846,Armed Rebel (Russia),Use unconventional violence,Military (Russia),2005-03-02
7847,Dmitry Anatolyevich Medvedev,Make statement,China,2008-05-21
7848,Government (France),Make statement,France,2015-01-13
7849,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Benjamin Netanyahu,2013-04-05
7850,Member of Parliament (Iraq),Make statement,Nuri al-Maliki,2009-06-04
7851,Thailand,Engage in diplomatic cooperation,Cambodia,2012-04-26
7852,Military Personnel (Mali),Make statement,Military (Mali),2012-03-23
7853,Iran,Consult,Yemen,2013-08-29
7854,Sudan,Engage in negotiation,Djibouti,2013-12-20
7855,Yemen,Host a visit,Mahmoud Abbas,2013-02-20
7856,Mohamed Ould Abdel Aziz,Halt negotiations,China,2011-09-19
7857,Head of Government (Portugal),Praise or endorse,China,2005-01-17
7858,China,Sign formal agreement,Japan,2009-09-02
7859,Shinsuke Sugiyama,Consult,Liu Zhenmin,2014-09-12
7860,Military (Mexico),Use conventional military force,Criminal (Mexico),2011-02-22
7861,Colombia,Host a visit,Rafael Correa,2008-03-07
7862,Barack Obama,Make a visit,Japan,2010-11-27
7863,Citizen (Greece),Reject,Georgios Papandreou,2011-06-07
7864,Iran,"Defy norms, law",UN Security Council,2009-06-07
7865,Other Authorities / Officials (Switzerland),Make a visit,France,2007-06-25
7866,Wen Jiabao,Demand,China,2005-04-21
7867,Evangelos Meimarakis,Accuse,Alexis Tsipras,2015-09-12
7868,Thailand,Express intent to engage in material cooperation,Citizen (Thailand),2007-12-28
7869,Reserve Personnel (South Korea),Investigate,South Korea,2007-12-17
7870,China,Praise or endorse,Islam Karimov,2006-09-19
7871,Adrian Cioroianu,Make a visit,Romania,2008-01-21
7872,Elizabeth II,Express intent to meet or negotiate,Ireland,2010-07-06
7873,Police (Peru),Discuss by telephone,Associated Press,2007-05-02
7874,Wen Jiabao,Make statement,China,2011-04-26
7875,Abdullah Gül,Make statement,Iraq,2007-01-27
7876,Thailand,Make an appeal or request,Citizen (Thailand),2008-07-11
7877,Mahmoud Abbas,Make statement,Abdel Fattah Al-Sisi,2015-11-09
7878,Japan,Consult,Association of Southeast Asian Nations,2011-02-10
7879,Gurbanguly Berdymukhammedov,Express intent to meet or negotiate,Kazakhstan,2007-05-14
7880,Thailand,Consult,Laos,2005-02-24
7881,Tony Blair,Criticize or denounce,Mahmoud Ahmadinejad,2005-11-02
7882,Military (Ukraine),Use conventional military force,Militant (Ukraine),2014-07-02
7883,Alexis Tsipras,Express intent to meet or negotiate,Citizen (Belgium),2015-06-23
7884,Nuri al-Maliki,Make statement,Qatar,2014-03-10
7885,Ministry (Nigeria),Make statement,Boko Haram,2014-05-07
7886,Israeli Defense Forces,Use conventional military force,Terrorist (Islamic Jihad),2006-02-01
7887,Vietnam,Consult,Laos,2011-04-19
7888,Vietnam,Express intent to cooperate economically,Japan,2008-09-29
7889,China,Host a visit,Abdullah Gül,2009-06-30
7890,Middle East,Consult,United Arab Emirates,2015-04-26
7891,Ethiopia,Consult,Sudan,2005-12-29
7892,Associated Press,Investigate,Iraq,2007-10-08
7893,Economic Cooperation Organization,Host a visit,Mahmoud Ahmadinejad,2006-05-08
7894,Moro Islamic Liberation Front,Make a visit,Malaysia,2012-07-17
7895,China,Demonstrate military or police power,Thailand,2011-12-13
7896,South Sudan,Make statement,Sudan,2012-06-16
7897,Barack Obama,Express intent to meet or negotiate,Mexico,2012-06-12
7898,Afghan National Army,Use conventional military force,Militant (Taliban),2014-02-22
7899,Police (Malaysia),Confiscate property,Malaysia,2007-11-10
7900,Police (Australia),"Arrest, detain, or charge with legal action",Criminal (Australia),2011-10-23
7901,Farm Worker (Taiwan),Make a visit,China,2005-06-23
7902,Thailand,Criticize or denounce,Cambodia,2011-03-03
7903,Antonis Samaras,Express intent to meet or negotiate,Pedro Manuel Mamede Passos Coelho,2012-03-23
7904,Mob (Uganda),Occupy territory,Citizen (Uganda),2008-06-27
7905,Malaysia,"Arrest, detain, or charge with legal action",Men (Malaysia),2007-05-31
7906,Constitutional Court (Senegal),Criticize or denounce,Abdoulaye Wade,2012-02-28
7907,Vietnam,Make a visit,Malaysia,2006-07-19
7908,South Sudan,Sign formal agreement,Sudan,2012-09-22
7909,Japan,Make optimistic comment,UN Security Council,2006-10-04
7910,Evo Morales,Express intent to meet or negotiate,Cristina Fernández de Kirchner,2015-07-14
7911,Shivraj Patil,Consult,Ministry of Public Security (China),2005-09-08
7912,China,"Arrest, detain, or charge with legal action",Women (China),2015-03-14
7913,Benjamin Netanyahu,Discuss by telephone,Mahmoud Abbas,2012-11-29
7914,Head of Government (India),Make an appeal or request,Governor (India),2013-02-19
7915,Police (Sudan),Investigate,Citizen (Sudan),2005-05-24
7916,Barack Obama,Praise or endorse,Japan,2013-02-15
7917,Citizen (Uganda),Make an appeal or request,Constitutional Court (Uganda),2006-05-17
7918,Military Personnel - Special (Afghanistan),"Arrest, detain, or charge with legal action",Armed Rebel (Afghanistan),2014-03-17
7919,Mexico,Express intent to meet or negotiate,South Africa,2006-07-11
7920,Benjamin Netanyahu,Make an appeal or request,Barack Obama,2010-11-08
